what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1347124779811
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1347124796758
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1347124801295
started,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1347124801298
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1347124801338
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1347124801379
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1347124801466
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1347124801497
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1347124801498
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1347124801512
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1347124801571
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1347124801662
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124801716
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124803931
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124819964
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124822999
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1347124823008
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1347124823467
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1347124823524
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1347124823559
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124834240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124871433
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.closeProject",1347124878680
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124886537
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124889097
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124889167
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124890396
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124896710
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124926553
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124928777
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124932764
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1347124932777
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1347124936490
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124936916
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124937238
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124937317
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124937579
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124937633
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124943772
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124951106
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124952443
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124952526
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1347124952696
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1347124952697
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1347124952698
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1347124952698
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1347124952699
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1347124952700
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1347124952701
